plot_id,ibutton_id,doy,date,time,am_pm,unit,value
755,DA000000399AA721,035,2-4-16,3:31:00,AM,C,1
755,DA000000399AA721,035,2-4-16,5:31:00,AM,C,-0.5
755,DA000000399AA721,035,2-4-16,7:31:00,AM,C,-0.5
755,DA000000399AA721,035,2-4-16,9:31:00,AM,C,7
755,DA000000399AA721,035,2-4-16,11:31:00,AM,C,16
755,DA000000399AA721,035,2-4-16,1:31:00,PM,C,15.5
755,DA000000399AA721,035,2-4-16,3:31:00,PM,C,16.5
755,DA000000399AA721,035,2-4-16,5:31:00,PM,C,16
755,DA000000399AA721,035,2-4-16,7:31:00,PM,C,9.5
755,DA000000399AA721,035,2-4-16,9:31:00,PM,C,5.5
755,DA000000399AA721,035,2-4-16,11:31:00,PM,C,3.5
755,DA000000399AA721,036,2-5-16,1:31:00,AM,C,3
755,DA000000399AA721,036,2-5-16,3:31:00,AM,C,1.5
755,DA000000399AA721,036,2-5-16,5:31:00,AM,C,1
755,DA000000399AA721,036,2-5-16,7:31:00,AM,C,0.5
755,DA000000399AA721,036,2-5-16,9:31:00,AM,C,9.5
755,DA000000399AA721,036,2-5-16,11:31:00,AM,C,20.5
755,DA000000399AA721,036,2-5-16,1:31:00,PM,C,19
755,DA000000399AA721,036,2-5-16,3:31:00,PM,C,19.5
755,DA000000399AA721,036,2-5-16,5:31:00,PM,C,18
755,DA000000399AA721,036,2-5-16,7:31:00,PM,C,14
755,DA000000399AA721,036,2-5-16,9:31:00,PM,C,16.5
755,DA000000399AA721,036,2-5-16,11:31:00,PM,C,18.5
755,DA000000399AA721,037,2-6-16,1:31:00,AM,C,19
755,DA000000399AA721,037,2-6-16,3:31:00,AM,C,19.5
755,DA000000399AA721,037,2-6-16,5:31:00,AM,C,19.5
755,DA000000399AA721,037,2-6-16,7:31:00,AM,C,11
755,DA000000399AA721,037,2-6-16,9:31:00,AM,C,19.5
755,DA000000399AA721,037,2-6-16,11:31:00,AM,C,23
755,DA000000399AA721,037,2-6-16,1:31:00,PM,C,24.5
755,DA000000399AA721,037,2-6-16,3:31:00,PM,C,26.5
755,DA000000399AA721,037,2-6-16,5:31:00,PM,C,16.5
755,DA000000399AA721,037,2-6-16,7:31:00,PM,C,13.5
755,DA000000399AA721,037,2-6-16,9:31:00,PM,C,9
755,DA000000399AA721,037,2-6-16,11:31:00,PM,C,12
755,DA000000399AA721,038,2-7-16,1:31:00,AM,C,10
755,DA000000399AA721,038,2-7-16,3:31:00,AM,C,9
755,DA000000399AA721,038,2-7-16,5:31:00,AM,C,7.5
755,DA000000399AA721,038,2-7-16,7:31:00,AM,C,9
755,DA000000399AA721,038,2-7-16,9:31:00,AM,C,20
755,DA000000399AA721,038,2-7-16,11:31:00,AM,C,25
755,DA000000399AA721,038,2-7-16,1:31:00,PM,C,27.5
755,DA000000399AA721,038,2-7-16,3:31:00,PM,C,32.5
755,DA000000399AA721,038,2-7-16,5:31:00,PM,C,15.5
755,DA000000399AA721,038,2-7-16,7:31:00,PM,C,11
755,DA000000399AA721,038,2-7-16,9:31:00,PM,C,10
755,DA000000399AA721,038,2-7-16,11:31:00,PM,C,12.5
755,DA000000399AA721,039,2-8-16,1:31:00,AM,C,13
755,DA000000399AA721,039,2-8-16,3:31:00,AM,C,14
755,DA000000399AA721,039,2-8-16,5:31:00,AM,C,9.5
755,DA000000399AA721,039,2-8-16,7:31:00,AM,C,11.5
755,DA000000399AA721,039,2-8-16,9:31:00,AM,C,21
755,DA000000399AA721,039,2-8-16,11:31:00,AM,C,26.5
755,DA000000399AA721,039,2-8-16,1:31:00,PM,C,29.5
755,DA000000399AA721,039,2-8-16,3:31:00,PM,C,34
755,DA000000399AA721,039,2-8-16,5:31:00,PM,C,17
755,DA000000399AA721,039,2-8-16,7:31:00,PM,C,15
755,DA000000399AA721,039,2-8-16,9:31:00,PM,C,12
755,DA000000399AA721,039,2-8-16,11:31:00,PM,C,9.5
755,DA000000399AA721,040,2-9-16,1:31:00,AM,C,9
755,DA000000399AA721,040,2-9-16,3:31:00,AM,C,10.5
755,DA000000399AA721,040,2-9-16,5:31:00,AM,C,8.5
755,DA000000399AA721,040,2-9-16,7:31:00,AM,C,10
755,DA000000399AA721,040,2-9-16,9:31:00,AM,C,22
755,DA000000399AA721,040,2-9-16,11:31:00,AM,C,27
755,DA000000399AA721,040,2-9-16,1:31:00,PM,C,30
755,DA000000399AA721,040,2-9-16,3:31:00,PM,C,29
755,DA000000399AA721,040,2-9-16,5:31:00,PM,C,17
755,DA000000399AA721,040,2-9-16,7:31:00,PM,C,13.5
755,DA000000399AA721,040,2-9-16,9:31:00,PM,C,11.5
755,DA000000399AA721,040,2-9-16,11:31:00,PM,C,12
755,DA000000399AA721,041,2-10-16,1:31:00,AM,C,12
755,DA000000399AA721,041,2-10-16,3:31:00,AM,C,16
755,DA000000399AA721,041,2-10-16,5:31:00,AM,C,15.5
755,DA000000399AA721,041,2-10-16,7:31:00,AM,C,14.5
755,DA000000399AA721,041,2-10-16,9:31:00,AM,C,23
755,DA000000399AA721,041,2-10-16,11:31:00,AM,C,28
755,DA000000399AA721,041,2-10-16,1:31:00,PM,C,30.5
755,DA000000399AA721,041,2-10-16,3:31:00,PM,C,35.5
755,DA000000399AA721,041,2-10-16,5:31:00,PM,C,17
755,DA000000399AA721,041,2-10-16,7:31:00,PM,C,12
755,DA000000399AA721,041,2-10-16,9:31:00,PM,C,11
755,DA000000399AA721,041,2-10-16,11:31:00,PM,C,10.5
755,DA000000399AA721,042,2-11-16,1:31:00,AM,C,11
755,DA000000399AA721,042,2-11-16,3:31:00,AM,C,10
755,DA000000399AA721,042,2-11-16,5:31:00,AM,C,8
755,DA000000399AA721,042,2-11-16,7:31:00,AM,C,10.5
755,DA000000399AA721,042,2-11-16,9:31:00,AM,C,23
755,DA000000399AA721,042,2-11-16,11:31:00,AM,C,27.5
755,DA000000399AA721,042,2-11-16,1:31:00,PM,C,29.5
755,DA000000399AA721,042,2-11-16,3:31:00,PM,C,34.5
755,DA000000399AA721,042,2-11-16,5:31:00,PM,C,17
755,DA000000399AA721,042,2-11-16,7:31:00,PM,C,12
755,DA000000399AA721,042,2-11-16,9:31:00,PM,C,10.5
755,DA000000399AA721,042,2-11-16,11:31:00,PM,C,10
755,DA000000399AA721,043,2-12-16,1:31:00,AM,C,11
755,DA000000399AA721,043,2-12-16,3:31:00,AM,C,14
755,DA000000399AA721,043,2-12-16,5:31:00,AM,C,11.5
755,DA000000399AA721,043,2-12-16,7:31:00,AM,C,14
755,DA000000399AA721,043,2-12-16,9:31:00,AM,C,21
755,DA000000399AA721,043,2-12-16,11:31:00,AM,C,26.5
755,DA000000399AA721,043,2-12-16,1:31:00,PM,C,29.5
755,DA000000399AA721,043,2-12-16,3:31:00,PM,C,34
755,DA000000399AA721,043,2-12-16,5:31:00,PM,C,17.5
755,DA000000399AA721,043,2-12-16,7:31:00,PM,C,11.5
755,DA000000399AA721,043,2-12-16,9:31:00,PM,C,10.5
755,DA000000399AA721,043,2-12-16,11:31:00,PM,C,14
755,DA000000399AA721,044,2-13-16,1:31:00,AM,C,14.5
755,DA000000399AA721,044,2-13-16,3:31:00,AM,C,16.5
755,DA000000399AA721,044,2-13-16,5:31:00,AM,C,12
755,DA000000399AA721,044,2-13-16,7:31:00,AM,C,14.5
755,DA000000399AA721,044,2-13-16,9:31:00,AM,C,21.5
755,DA000000399AA721,044,2-13-16,11:31:00,AM,C,26
755,DA000000399AA721,044,2-13-16,1:31:00,PM,C,27
755,DA000000399AA721,044,2-13-16,3:31:00,PM,C,31
755,DA000000399AA721,044,2-13-16,5:31:00,PM,C,19
755,DA000000399AA721,044,2-13-16,7:31:00,PM,C,16
755,DA000000399AA721,044,2-13-16,9:31:00,PM,C,15.5
755,DA000000399AA721,044,2-13-16,11:31:00,PM,C,15.5
755,DA000000399AA721,045,2-14-16,1:31:00,AM,C,16
755,DA000000399AA721,045,2-14-16,3:31:00,AM,C,16
755,DA000000399AA721,045,2-14-16,5:31:00,AM,C,15.5
755,DA000000399AA721,045,2-14-16,7:31:00,AM,C,16
755,DA000000399AA721,045,2-14-16,9:31:00,AM,C,20.5
755,DA000000399AA721,045,2-14-16,11:31:00,AM,C,24.5
755,DA000000399AA721,045,2-14-16,1:31:00,PM,C,25
755,DA000000399AA721,045,2-14-16,3:31:00,PM,C,24.5
755,DA000000399AA721,045,2-14-16,5:31:00,PM,C,17
755,DA000000399AA721,045,2-14-16,7:31:00,PM,C,17
755,DA000000399AA721,045,2-14-16,9:31:00,PM,C,16.5
755,DA000000399AA721,045,2-14-16,11:31:00,PM,C,15.5
755,DA000000399AA721,046,2-15-16,1:31:00,AM,C,12.5
755,DA000000399AA721,046,2-15-16,3:31:00,AM,C,14.5
755,DA000000399AA721,046,2-15-16,5:31:00,AM,C,10.5
755,DA000000399AA721,046,2-15-16,7:31:00,AM,C,11
755,DA000000399AA721,046,2-15-16,9:31:00,AM,C,25
755,DA000000399AA721,046,2-15-16,11:31:00,AM,C,29.5
755,DA000000399AA721,046,2-15-16,1:31:00,PM,C,32
755,DA000000399AA721,046,2-15-16,3:31:00,PM,C,38
755,DA000000399AA721,046,2-15-16,5:31:00,PM,C,19
755,DA000000399AA721,046,2-15-16,7:31:00,PM,C,20
755,DA000000399AA721,046,2-15-16,9:31:00,PM,C,13.5
755,DA000000399AA721,046,2-15-16,11:31:00,PM,C,11.5
755,DA000000399AA721,047,2-16-16,1:31:00,AM,C,12
755,DA000000399AA721,047,2-16-16,3:31:00,AM,C,13
755,DA000000399AA721,047,2-16-16,5:31:00,AM,C,10
755,DA000000399AA721,047,2-16-16,7:31:00,AM,C,12.5
755,DA000000399AA721,047,2-16-16,9:31:00,AM,C,24.5
755,DA000000399AA721,047,2-16-16,11:31:00,AM,C,30
755,DA000000399AA721,047,2-16-16,1:31:00,PM,C,31.5
755,DA000000399AA721,047,2-16-16,3:31:00,PM,C,38
755,DA000000399AA721,047,2-16-16,5:31:00,PM,C,18
755,DA000000399AA721,047,2-16-16,7:31:00,PM,C,12.5
755,DA000000399AA721,047,2-16-16,9:31:00,PM,C,12
755,DA000000399AA721,047,2-16-16,11:31:00,PM,C,14.5
755,DA000000399AA721,048,2-17-16,1:31:00,AM,C,12
755,DA000000399AA721,048,2-17-16,3:31:00,AM,C,13.5
755,DA000000399AA721,048,2-17-16,5:31:00,AM,C,13.5
755,DA000000399AA721,048,2-17-16,7:31:00,AM,C,14
755,DA000000399AA721,048,2-17-16,9:31:00,AM,C,17
755,DA000000399AA721,048,2-17-16,11:31:00,AM,C,16
755,DA000000399AA721,048,2-17-16,1:31:00,PM,C,14.5
755,DA000000399AA721,048,2-17-16,3:31:00,PM,C,14.5
755,DA000000399AA721,048,2-17-16,5:31:00,PM,C,11
755,DA000000399AA721,048,2-17-16,7:31:00,PM,C,10.5
755,DA000000399AA721,048,2-17-16,9:31:00,PM,C,10
755,DA000000399AA721,048,2-17-16,11:31:00,PM,C,10
755,DA000000399AA721,049,2-18-16,1:31:00,AM,C,10
755,DA000000399AA721,049,2-18-16,3:31:00,AM,C,8
755,DA000000399AA721,049,2-18-16,5:31:00,AM,C,8.5
755,DA000000399AA721,049,2-18-16,7:31:00,AM,C,6
755,DA000000399AA721,049,2-18-16,9:31:00,AM,C,11.5
755,DA000000399AA721,049,2-18-16,11:31:00,AM,C,15.5
755,DA000000399AA721,049,2-18-16,1:31:00,PM,C,17.5
755,DA000000399AA721,049,2-18-16,3:31:00,PM,C,23.5
755,DA000000399AA721,049,2-18-16,5:31:00,PM,C,11
755,DA000000399AA721,049,2-18-16,7:31:00,PM,C,8
755,DA000000399AA721,049,2-18-16,9:31:00,PM,C,6.5
755,DA000000399AA721,049,2-18-16,11:31:00,PM,C,6
755,DA000000399AA721,050,2-19-16,1:31:00,AM,C,5.5
755,DA000000399AA721,050,2-19-16,3:31:00,AM,C,4.5
755,DA000000399AA721,050,2-19-16,5:31:00,AM,C,4.5
755,DA000000399AA721,050,2-19-16,7:31:00,AM,C,6
755,DA000000399AA721,050,2-19-16,9:31:00,AM,C,12.5
755,DA000000399AA721,050,2-19-16,11:31:00,AM,C,17.5
755,DA000000399AA721,050,2-19-16,1:31:00,PM,C,19.5
755,DA000000399AA721,050,2-19-16,3:31:00,PM,C,23
755,DA000000399AA721,050,2-19-16,5:31:00,PM,C,11
755,DA000000399AA721,050,2-19-16,7:31:00,PM,C,10
755,DA000000399AA721,050,2-19-16,9:31:00,PM,C,6
755,DA000000399AA721,050,2-19-16,11:31:00,PM,C,6.5
755,DA000000399AA721,051,2-20-16,1:31:00,AM,C,7.5
755,DA000000399AA721,051,2-20-16,3:31:00,AM,C,5
755,DA000000399AA721,051,2-20-16,5:31:00,AM,C,3.5
755,DA000000399AA721,051,2-20-16,7:31:00,AM,C,4
755,DA000000399AA721,051,2-20-16,9:31:00,AM,C,13.5
755,DA000000399AA721,051,2-20-16,11:31:00,AM,C,19
755,DA000000399AA721,051,2-20-16,1:31:00,PM,C,22
755,DA000000399AA721,051,2-20-16,3:31:00,PM,C,28
755,DA000000399AA721,051,2-20-16,5:31:00,PM,C,15.5
755,DA000000399AA721,051,2-20-16,7:31:00,PM,C,9.5
755,DA000000399AA721,051,2-20-16,9:31:00,PM,C,8
755,DA000000399AA721,051,2-20-16,11:31:00,PM,C,7
