1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: 4D00000039559621
Is Mission Active?  true
Mission Start:  Thu Feb 04 04:01:00 CST 2016
Sample Rate:  Every 120 minute(s)
Number of Mission Samples:  1689
Total Samples:  1689
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has NOT occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 �C
Low Temperature Alarm:  -40 �C

Date/Time,Unit,Value
2/4/16 4:01:00 AM,C,1.5
2/4/16 6:01:00 AM,C,0.5
2/4/16 8:01:00 AM,C,0.5
2/4/16 10:01:00 AM,C,6.5
2/4/16 12:01:00 PM,C,12.5
2/4/16 2:01:00 PM,C,13
2/4/16 4:01:00 PM,C,14.5
2/4/16 6:01:00 PM,C,14
2/4/16 8:01:00 PM,C,10
2/4/16 10:01:00 PM,C,6.5
2/5/16 12:01:00 AM,C,4.5
2/5/16 2:01:00 AM,C,3.5
2/5/16 4:01:00 AM,C,2
2/5/16 6:01:00 AM,C,1.5
2/5/16 8:01:00 AM,C,1
2/5/16 10:01:00 AM,C,8.5
2/5/16 12:01:00 PM,C,16
2/5/16 2:01:00 PM,C,16.5
2/5/16 4:01:00 PM,C,17.5
2/5/16 6:01:00 PM,C,16.5
2/5/16 8:01:00 PM,C,19.5
2/5/16 10:01:00 PM,C,15.5
2/6/16 12:01:00 AM,C,18.5
2/6/16 2:01:00 AM,C,19
2/6/16 4:01:00 AM,C,19
2/6/16 6:01:00 AM,C,19
2/6/16 8:01:00 AM,C,10.5
2/6/16 10:01:00 AM,C,17
2/6/16 12:01:00 PM,C,21
2/6/16 2:01:00 PM,C,22.5
2/6/16 4:01:00 PM,C,23.5
2/6/16 6:01:00 PM,C,13
2/6/16 8:01:00 PM,C,10.5
2/6/16 10:01:00 PM,C,7.5
2/7/16 12:01:00 AM,C,11.5
2/7/16 2:01:00 AM,C,7
2/7/16 4:01:00 AM,C,7
2/7/16 6:01:00 AM,C,4
2/7/16 8:01:00 AM,C,12
2/7/16 10:01:00 AM,C,19
2/7/16 12:01:00 PM,C,23
2/7/16 2:01:00 PM,C,25.5
2/7/16 4:01:00 PM,C,26.5
2/7/16 6:01:00 PM,C,12
2/7/16 8:01:00 PM,C,10
2/7/16 10:01:00 PM,C,6.5
2/8/16 12:01:00 AM,C,12.5
2/8/16 2:01:00 AM,C,12
2/8/16 4:01:00 AM,C,12
2/8/16 6:01:00 AM,C,7
2/8/16 8:01:00 AM,C,16
2/8/16 10:01:00 AM,C,19.5
2/8/16 12:01:00 PM,C,25
2/8/16 2:01:00 PM,C,27
2/8/16 4:01:00 PM,C,28
2/8/16 6:01:00 PM,C,13.5
2/8/16 8:01:00 PM,C,12
2/8/16 10:01:00 PM,C,8
2/9/16 12:01:00 AM,C,5
2/9/16 2:01:00 AM,C,6.5
2/9/16 4:01:00 AM,C,7.5
2/9/16 6:01:00 AM,C,4
2/9/16 8:01:00 AM,C,12
2/9/16 10:01:00 AM,C,20
2/9/16 12:01:00 PM,C,25.5
2/9/16 2:01:00 PM,C,27
2/9/16 4:01:00 PM,C,29.5
2/9/16 6:01:00 PM,C,12.5
2/9/16 8:01:00 PM,C,12
2/9/16 10:01:00 PM,C,10
2/10/16 12:01:00 AM,C,8.5
2/10/16 2:01:00 AM,C,13
2/10/16 4:01:00 AM,C,14.5
2/10/16 6:01:00 AM,C,15
2/10/16 8:01:00 AM,C,15.5
2/10/16 10:01:00 AM,C,22
2/10/16 12:01:00 PM,C,26.5
2/10/16 2:01:00 PM,C,27
2/10/16 4:01:00 PM,C,29
2/10/16 6:01:00 PM,C,12.5
2/10/16 8:01:00 PM,C,8.5
2/10/16 10:01:00 PM,C,9
2/11/16 12:01:00 AM,C,8.5
2/11/16 2:01:00 AM,C,7.5
2/11/16 4:01:00 AM,C,5.5
2/11/16 6:01:00 AM,C,7
2/11/16 8:01:00 AM,C,13.5
2/11/16 10:01:00 AM,C,21
2/11/16 12:01:00 PM,C,25.5
2/11/16 2:01:00 PM,C,27
2/11/16 4:01:00 PM,C,28.5
2/11/16 6:01:00 PM,C,13.5
2/11/16 8:01:00 PM,C,9.5
2/11/16 10:01:00 PM,C,8.5
2/12/16 12:01:00 AM,C,6.5
2/12/16 2:01:00 AM,C,7.5
2/12/16 4:01:00 AM,C,9
2/12/16 6:01:00 AM,C,8
2/12/16 8:01:00 AM,C,15.5
2/12/16 10:01:00 AM,C,19
2/12/16 12:01:00 PM,C,25.5
2/12/16 2:01:00 PM,C,27
2/12/16 4:01:00 PM,C,25
2/12/16 6:01:00 PM,C,14
2/12/16 8:01:00 PM,C,9
2/12/16 10:01:00 PM,C,9
2/13/16 12:01:00 AM,C,9
2/13/16 2:01:00 AM,C,15
2/13/16 4:01:00 AM,C,16
2/13/16 6:01:00 AM,C,14.5
2/13/16 8:01:00 AM,C,16.5
2/13/16 10:01:00 AM,C,22
2/13/16 12:01:00 PM,C,25
2/13/16 2:01:00 PM,C,26
2/13/16 4:01:00 PM,C,27.5
2/13/16 6:01:00 PM,C,17
2/13/16 8:01:00 PM,C,15.5
2/13/16 10:01:00 PM,C,13.5
2/14/16 12:01:00 AM,C,15.5
2/14/16 2:01:00 AM,C,14.5
2/14/16 4:01:00 AM,C,15.5
2/14/16 6:01:00 AM,C,15
2/14/16 8:01:00 AM,C,17.5
2/14/16 10:01:00 AM,C,20.5
2/14/16 12:01:00 PM,C,23.5
2/14/16 2:01:00 PM,C,24
2/14/16 4:01:00 PM,C,23.5
2/14/16 6:01:00 PM,C,16
2/14/16 8:01:00 PM,C,15
2/14/16 10:01:00 PM,C,16.5
2/15/16 12:01:00 AM,C,14
2/15/16 2:01:00 AM,C,9.5
2/15/16 4:01:00 AM,C,14.5
2/15/16 6:01:00 AM,C,7.5
2/15/16 8:01:00 AM,C,17
2/15/16 10:01:00 AM,C,24.5
2/15/16 12:01:00 PM,C,29
2/15/16 2:01:00 PM,C,30.5
2/15/16 4:01:00 PM,C,31.5
2/15/16 6:01:00 PM,C,14
2/15/16 8:01:00 PM,C,18.5
2/15/16 10:01:00 PM,C,11
2/16/16 12:01:00 AM,C,12
2/16/16 2:01:00 AM,C,11.5
2/16/16 4:01:00 AM,C,10.5
2/16/16 6:01:00 AM,C,7
2/16/16 8:01:00 AM,C,16
2/16/16 10:01:00 AM,C,25
2/16/16 12:01:00 PM,C,28.5
2/16/16 2:01:00 PM,C,30
2/16/16 4:01:00 PM,C,32
2/16/16 6:01:00 PM,C,11.5
2/16/16 8:01:00 PM,C,10.5
2/16/16 10:01:00 PM,C,13.5
2/17/16 12:01:00 AM,C,14.5
2/17/16 2:01:00 AM,C,13.5
2/17/16 4:01:00 AM,C,13
2/17/16 6:01:00 AM,C,12.5
2/17/16 8:01:00 AM,C,14.5
2/17/16 10:01:00 AM,C,16.5
2/17/16 12:01:00 PM,C,15.5
2/17/16 2:01:00 PM,C,13
2/17/16 4:01:00 PM,C,13
2/17/16 6:01:00 PM,C,10
2/17/16 8:01:00 PM,C,9.5
2/17/16 10:01:00 PM,C,9.5
2/18/16 12:01:00 AM,C,9.5
2/18/16 2:01:00 AM,C,9.5
2/18/16 4:01:00 AM,C,8
2/18/16 6:01:00 AM,C,7.5
2/18/16 8:01:00 AM,C,9
2/18/16 10:01:00 AM,C,12.5
2/18/16 12:01:00 PM,C,14.5
2/18/16 2:01:00 PM,C,17
2/18/16 4:01:00 PM,C,20.5
2/18/16 6:01:00 PM,C,10
2/18/16 8:01:00 PM,C,6.5
2/18/16 10:01:00 PM,C,7
2/19/16 12:01:00 AM,C,5.5
2/19/16 2:01:00 AM,C,4
2/19/16 4:01:00 AM,C,4.5
2/19/16 6:01:00 AM,C,4.5
2/19/16 8:01:00 AM,C,7
2/19/16 10:01:00 AM,C,13.5
2/19/16 12:01:00 PM,C,17.5
2/19/16 2:01:00 PM,C,18.5
2/19/16 4:01:00 PM,C,20
2/19/16 6:01:00 PM,C,10
2/19/16 8:01:00 PM,C,8.5
2/19/16 10:01:00 PM,C,6
2/20/16 12:01:00 AM,C,7
2/20/16 2:01:00 AM,C,5
2/20/16 4:01:00 AM,C,4
2/20/16 6:01:00 AM,C,3
2/20/16 8:01:00 AM,C,8
2/20/16 10:01:00 AM,C,14.5
2/20/16 12:01:00 PM,C,19
2/20/16 2:01:00 PM,C,21.5
2/20/16 4:01:00 PM,C,25.5
2/20/16 6:01:00 PM,C,11.5
2/20/16 8:01:00 PM,C,8
2/20/16 10:01:00 PM,C,7.5
2/21/16 12:01:00 AM,C,6.5
2/21/16 2:01:00 AM,C,4.5
2/21/16 4:01:00 AM,C,3.5
2/21/16 6:01:00 AM,C,7.5
2/21/16 8:01:00 AM,C,14.5
2/21/16 10:01:00 AM,C,19.5
2/21/16 12:01:00 PM,C,22
