plot_id,ibutton_id,doy,date,time,am_pm,unit,value
399D4C,5A000000399D4C21,022,1-22-18,3:54:00,PM,C,22.5
399D4C,5A000000399D4C21,022,1-22-18,5:54:00,PM,C,21.5
399D4C,5A000000399D4C21,022,1-22-18,7:54:00,PM,C,21
399D4C,5A000000399D4C21,022,1-22-18,9:54:00,PM,C,21
399D4C,5A000000399D4C21,022,1-22-18,11:54:00,PM,C,21
399D4C,5A000000399D4C21,023,1-23-18,1:54:00,AM,C,21
399D4C,5A000000399D4C21,023,1-23-18,3:54:00,AM,C,21
399D4C,5A000000399D4C21,023,1-23-18,5:54:00,AM,C,21
399D4C,5A000000399D4C21,023,1-23-18,7:54:00,AM,C,20.5
399D4C,5A000000399D4C21,023,1-23-18,9:54:00,AM,C,24.5
399D4C,5A000000399D4C21,023,1-23-18,11:54:00,AM,C,26.5
399D4C,5A000000399D4C21,023,1-23-18,1:54:00,PM,C,32
399D4C,5A000000399D4C21,023,1-23-18,3:54:00,PM,C,22.5
399D4C,5A000000399D4C21,023,1-23-18,5:54:00,PM,C,9
399D4C,5A000000399D4C21,023,1-23-18,7:54:00,PM,C,2.5
399D4C,5A000000399D4C21,023,1-23-18,9:54:00,PM,C,1
399D4C,5A000000399D4C21,023,1-23-18,11:54:00,PM,C,1
399D4C,5A000000399D4C21,024,1-24-18,1:54:00,AM,C,-0.5
399D4C,5A000000399D4C21,024,1-24-18,3:54:00,AM,C,-1
399D4C,5A000000399D4C21,024,1-24-18,5:54:00,AM,C,1
399D4C,5A000000399D4C21,024,1-24-18,7:54:00,AM,C,4.5
399D4C,5A000000399D4C21,024,1-24-18,9:54:00,AM,C,23.5
399D4C,5A000000399D4C21,024,1-24-18,11:54:00,AM,C,27.5
399D4C,5A000000399D4C21,024,1-24-18,1:54:00,PM,C,23
399D4C,5A000000399D4C21,024,1-24-18,3:54:00,PM,C,17.5
399D4C,5A000000399D4C21,024,1-24-18,5:54:00,PM,C,7.5
399D4C,5A000000399D4C21,024,1-24-18,7:54:00,PM,C,0.5
399D4C,5A000000399D4C21,024,1-24-18,9:54:00,PM,C,1
399D4C,5A000000399D4C21,024,1-24-18,11:54:00,PM,C,-1.5
399D4C,5A000000399D4C21,025,1-25-18,1:54:00,AM,C,3
399D4C,5A000000399D4C21,025,1-25-18,3:54:00,AM,C,7
399D4C,5A000000399D4C21,025,1-25-18,5:54:00,AM,C,7
399D4C,5A000000399D4C21,025,1-25-18,7:54:00,AM,C,8
399D4C,5A000000399D4C21,025,1-25-18,9:54:00,AM,C,16
399D4C,5A000000399D4C21,025,1-25-18,11:54:00,AM,C,19
399D4C,5A000000399D4C21,025,1-25-18,1:54:00,PM,C,19.5
399D4C,5A000000399D4C21,025,1-25-18,3:54:00,PM,C,14
399D4C,5A000000399D4C21,025,1-25-18,5:54:00,PM,C,6
399D4C,5A000000399D4C21,025,1-25-18,7:54:00,PM,C,4.5
399D4C,5A000000399D4C21,025,1-25-18,9:54:00,PM,C,3.5
399D4C,5A000000399D4C21,025,1-25-18,11:54:00,PM,C,4
399D4C,5A000000399D4C21,026,1-26-18,1:54:00,AM,C,4
399D4C,5A000000399D4C21,026,1-26-18,3:54:00,AM,C,3
399D4C,5A000000399D4C21,026,1-26-18,5:54:00,AM,C,4
399D4C,5A000000399D4C21,026,1-26-18,7:54:00,AM,C,6
399D4C,5A000000399D4C21,026,1-26-18,9:54:00,AM,C,15.5
399D4C,5A000000399D4C21,026,1-26-18,11:54:00,AM,C,21.5
399D4C,5A000000399D4C21,026,1-26-18,1:54:00,PM,C,21
399D4C,5A000000399D4C21,026,1-26-18,3:54:00,PM,C,16
399D4C,5A000000399D4C21,026,1-26-18,5:54:00,PM,C,7.5
399D4C,5A000000399D4C21,026,1-26-18,7:54:00,PM,C,7
399D4C,5A000000399D4C21,026,1-26-18,9:54:00,PM,C,7.5
399D4C,5A000000399D4C21,026,1-26-18,11:54:00,PM,C,1.5
399D4C,5A000000399D4C21,027,1-27-18,1:54:00,AM,C,0.5
399D4C,5A000000399D4C21,027,1-27-18,3:54:00,AM,C,2.5
399D4C,5A000000399D4C21,027,1-27-18,5:54:00,AM,C,8.5
399D4C,5A000000399D4C21,027,1-27-18,7:54:00,AM,C,10.5
399D4C,5A000000399D4C21,027,1-27-18,9:54:00,AM,C,20.5
399D4C,5A000000399D4C21,027,1-27-18,11:54:00,AM,C,27
399D4C,5A000000399D4C21,027,1-27-18,1:54:00,PM,C,24
399D4C,5A000000399D4C21,027,1-27-18,3:54:00,PM,C,19
399D4C,5A000000399D4C21,027,1-27-18,5:54:00,PM,C,13
399D4C,5A000000399D4C21,027,1-27-18,7:54:00,PM,C,13.5
399D4C,5A000000399D4C21,027,1-27-18,9:54:00,PM,C,10
399D4C,5A000000399D4C21,027,1-27-18,11:54:00,PM,C,4.5
399D4C,5A000000399D4C21,028,1-28-18,1:54:00,AM,C,5.5
399D4C,5A000000399D4C21,028,1-28-18,3:54:00,AM,C,4
399D4C,5A000000399D4C21,028,1-28-18,5:54:00,AM,C,5.5
399D4C,5A000000399D4C21,028,1-28-18,7:54:00,AM,C,9
399D4C,5A000000399D4C21,028,1-28-18,9:54:00,AM,C,28
399D4C,5A000000399D4C21,028,1-28-18,11:54:00,AM,C,33.5
399D4C,5A000000399D4C21,028,1-28-18,1:54:00,PM,C,34
399D4C,5A000000399D4C21,028,1-28-18,3:54:00,PM,C,28.5
399D4C,5A000000399D4C21,028,1-28-18,5:54:00,PM,C,12
399D4C,5A000000399D4C21,028,1-28-18,7:54:00,PM,C,10
399D4C,5A000000399D4C21,028,1-28-18,9:54:00,PM,C,7
399D4C,5A000000399D4C21,028,1-28-18,11:54:00,PM,C,6
399D4C,5A000000399D4C21,029,1-29-18,1:54:00,AM,C,5.5
399D4C,5A000000399D4C21,029,1-29-18,3:54:00,AM,C,16.5
399D4C,5A000000399D4C21,029,1-29-18,5:54:00,AM,C,17.5
399D4C,5A000000399D4C21,029,1-29-18,7:54:00,AM,C,13
399D4C,5A000000399D4C21,029,1-29-18,9:54:00,AM,C,30.5
399D4C,5A000000399D4C21,029,1-29-18,11:54:00,AM,C,34.5
399D4C,5A000000399D4C21,029,1-29-18,1:54:00,PM,C,29.5
399D4C,5A000000399D4C21,029,1-29-18,3:54:00,PM,C,24.5
399D4C,5A000000399D4C21,029,1-29-18,5:54:00,PM,C,14.5
399D4C,5A000000399D4C21,029,1-29-18,7:54:00,PM,C,8
399D4C,5A000000399D4C21,029,1-29-18,9:54:00,PM,C,5
399D4C,5A000000399D4C21,029,1-29-18,11:54:00,PM,C,6
399D4C,5A000000399D4C21,030,1-30-18,1:54:00,AM,C,8.5
399D4C,5A000000399D4C21,030,1-30-18,3:54:00,AM,C,9
399D4C,5A000000399D4C21,030,1-30-18,5:54:00,AM,C,9
399D4C,5A000000399D4C21,030,1-30-18,7:54:00,AM,C,13.5
399D4C,5A000000399D4C21,030,1-30-18,9:54:00,AM,C,24.5
399D4C,5A000000399D4C21,030,1-30-18,11:54:00,AM,C,26.5
399D4C,5A000000399D4C21,030,1-30-18,1:54:00,PM,C,28.5
399D4C,5A000000399D4C21,030,1-30-18,3:54:00,PM,C,24
399D4C,5A000000399D4C21,030,1-30-18,5:54:00,PM,C,8
399D4C,5A000000399D4C21,030,1-30-18,7:54:00,PM,C,8.5
399D4C,5A000000399D4C21,030,1-30-18,9:54:00,PM,C,10
399D4C,5A000000399D4C21,030,1-30-18,11:54:00,PM,C,13.5
399D4C,5A000000399D4C21,031,1-31-18,1:54:00,AM,C,16
399D4C,5A000000399D4C21,031,1-31-18,3:54:00,AM,C,15.5
399D4C,5A000000399D4C21,031,1-31-18,5:54:00,AM,C,16
399D4C,5A000000399D4C21,031,1-31-18,7:54:00,AM,C,19
399D4C,5A000000399D4C21,031,1-31-18,9:54:00,AM,C,31
399D4C,5A000000399D4C21,031,1-31-18,11:54:00,AM,C,35
399D4C,5A000000399D4C21,031,1-31-18,1:54:00,PM,C,33.5
399D4C,5A000000399D4C21,031,1-31-18,3:54:00,PM,C,29
399D4C,5A000000399D4C21,031,1-31-18,5:54:00,PM,C,9.5
399D4C,5A000000399D4C21,031,1-31-18,7:54:00,PM,C,17
399D4C,5A000000399D4C21,031,1-31-18,9:54:00,PM,C,11.5
399D4C,5A000000399D4C21,031,1-31-18,11:54:00,PM,C,5
399D4C,5A000000399D4C21,032,2-1-18,1:54:00,AM,C,6
399D4C,5A000000399D4C21,032,2-1-18,3:54:00,AM,C,1.5
399D4C,5A000000399D4C21,032,2-1-18,5:54:00,AM,C,2.5
399D4C,5A000000399D4C21,032,2-1-18,7:54:00,AM,C,9.5
399D4C,5A000000399D4C21,032,2-1-18,9:54:00,AM,C,29.5
399D4C,5A000000399D4C21,032,2-1-18,11:54:00,AM,C,34.5
399D4C,5A000000399D4C21,032,2-1-18,1:54:00,PM,C,34.5
399D4C,5A000000399D4C21,032,2-1-18,3:54:00,PM,C,28
399D4C,5A000000399D4C21,032,2-1-18,5:54:00,PM,C,10
399D4C,5A000000399D4C21,032,2-1-18,7:54:00,PM,C,9
399D4C,5A000000399D4C21,032,2-1-18,9:54:00,PM,C,9
399D4C,5A000000399D4C21,032,2-1-18,11:54:00,PM,C,5.5
399D4C,5A000000399D4C21,033,2-2-18,1:54:00,AM,C,8.5
399D4C,5A000000399D4C21,033,2-2-18,3:54:00,AM,C,5.5
399D4C,5A000000399D4C21,033,2-2-18,5:54:00,AM,C,4.5
399D4C,5A000000399D4C21,033,2-2-18,7:54:00,AM,C,14.5
