plot_id,ibutton_id,doy,date,time,am_pm,unit,value
396D8C,63000000396D8C21,022,1-22-18,3:36:00,PM,C,23
396D8C,63000000396D8C21,022,1-22-18,5:36:00,PM,C,21
396D8C,63000000396D8C21,022,1-22-18,7:36:00,PM,C,21
396D8C,63000000396D8C21,022,1-22-18,9:36:00,PM,C,21
396D8C,63000000396D8C21,022,1-22-18,11:36:00,PM,C,21
396D8C,63000000396D8C21,023,1-23-18,1:36:00,AM,C,21
396D8C,63000000396D8C21,023,1-23-18,3:36:00,AM,C,21
396D8C,63000000396D8C21,023,1-23-18,5:36:00,AM,C,21
396D8C,63000000396D8C21,023,1-23-18,7:36:00,AM,C,21
396D8C,63000000396D8C21,023,1-23-18,9:36:00,AM,C,21
396D8C,63000000396D8C21,023,1-23-18,11:36:00,AM,C,26
396D8C,63000000396D8C21,023,1-23-18,1:36:00,PM,C,30
396D8C,63000000396D8C21,023,1-23-18,3:36:00,PM,C,24
396D8C,63000000396D8C21,023,1-23-18,5:36:00,PM,C,9
396D8C,63000000396D8C21,023,1-23-18,7:36:00,PM,C,5.5
396D8C,63000000396D8C21,023,1-23-18,9:36:00,PM,C,4
396D8C,63000000396D8C21,023,1-23-18,11:36:00,PM,C,5
396D8C,63000000396D8C21,024,1-24-18,1:36:00,AM,C,6.5
396D8C,63000000396D8C21,024,1-24-18,3:36:00,AM,C,3.5
396D8C,63000000396D8C21,024,1-24-18,5:36:00,AM,C,0.5
396D8C,63000000396D8C21,024,1-24-18,7:36:00,AM,C,2.5
396D8C,63000000396D8C21,024,1-24-18,9:36:00,AM,C,21.5
396D8C,63000000396D8C21,024,1-24-18,11:36:00,AM,C,26
396D8C,63000000396D8C21,024,1-24-18,1:36:00,PM,C,23.5
396D8C,63000000396D8C21,024,1-24-18,3:36:00,PM,C,18.5
396D8C,63000000396D8C21,024,1-24-18,5:36:00,PM,C,8
396D8C,63000000396D8C21,024,1-24-18,7:36:00,PM,C,4
396D8C,63000000396D8C21,024,1-24-18,9:36:00,PM,C,5
396D8C,63000000396D8C21,024,1-24-18,11:36:00,PM,C,2
396D8C,63000000396D8C21,025,1-25-18,1:36:00,AM,C,2
396D8C,63000000396D8C21,025,1-25-18,3:36:00,AM,C,6
396D8C,63000000396D8C21,025,1-25-18,5:36:00,AM,C,7
396D8C,63000000396D8C21,025,1-25-18,7:36:00,AM,C,6
396D8C,63000000396D8C21,025,1-25-18,9:36:00,AM,C,13.5
396D8C,63000000396D8C21,025,1-25-18,11:36:00,AM,C,18.5
396D8C,63000000396D8C21,025,1-25-18,1:36:00,PM,C,19.5
396D8C,63000000396D8C21,025,1-25-18,3:36:00,PM,C,15
396D8C,63000000396D8C21,025,1-25-18,5:36:00,PM,C,6
396D8C,63000000396D8C21,025,1-25-18,7:36:00,PM,C,5
396D8C,63000000396D8C21,025,1-25-18,9:36:00,PM,C,4
396D8C,63000000396D8C21,025,1-25-18,11:36:00,PM,C,4
396D8C,63000000396D8C21,026,1-26-18,1:36:00,AM,C,3.5
396D8C,63000000396D8C21,026,1-26-18,3:36:00,AM,C,4
