Family,Genus_Species
Aceraceae  ,Acer macrophyllum
Anacardiaceae,Schinus molle
Anacardiaceae,Toxicodendron diversilobum
Apiaceae,Apiastrum angustifolium
Apiaceae,Bowlesia incana
Apiaceae,Daucus pusillus
Apiaceae,Lomatium dasycarpum
Apiaceae,Lomatium sp.
Apiaceae,Lomatium triternatum
Apiaceae,Lomatium utriculatum
Apiaceae,Sanicula arguta
Apiaceae,Sanicula bipinnata
Apiaceae,Sanicula bipinnatifida
Apiaceae,Sanicula crassicaulis
Apiaceae,Torilis arvensis
Apiaceae,Torilis nodosa
Apiaceae,Yabea microcarpa
Apocynaceae,Apocynum cannabinum
Asclepiadaceae,Asclepias californica
Asclepiadaceae,Asclepias eriocarpa
Asclepiadaceae,Asclepias fascicularis
Asteraceae,Achillea millefolium
Asteraceae,Achyrachaena mollis
Asteraceae,Acourtia microcephala
Asteraceae,Agoseris heterophylla
Asteraceae,Agoseris retrorsa
Asteraceae,Ancistrocarphus filagineus
Asteraceae,Artemisia californica
Asteraceae,Artemisia douglasiana
Asteraceae,Baccharis douglasii
Asteraceae,Baccharis pilularis
Asteraceae,Baccharis plummerae
Asteraceae,Baccharis salicifolia
Asteraceae,Brickellia californica
Asteraceae,Centaurea melitensis
Asteraceae,Chaenactis glabriuscula
Asteraceae,Chamomilla suaveolens
Asteraceae,Cirsium occidentale
Asteraceae,Cirsium vulgare
Asteraceae,Conyza canadensis
Asteraceae,Coreopsis bigelovii
Asteraceae,Coreopsis douglasii
Asteraceae,Cotula coronopifolia
Asteraceae,Erigeron foliosus
Asteraceae,Eriophyllum confertiflorum
Asteraceae,Filago californica
Asteraceae,Filago gallica
Asteraceae,Filago sp.
Asteraceae,Gnaphalium californicum
Asteraceae,Gnaphalium canescens
Asteraceae,Gnaphalium luteo-album
Asteraceae,Gnaphalium palustre
Asteraceae,Gnaphalium purpureum
Asteraceae,Gnaphalium ramosissimum
Asteraceae,Gnaphalium stramineum
Asteraceae,Grindelia camporum
Asteraceae,Hazardia squarrosa
Asteraceae,Helenium puberulum
Asteraceae,Hemizonia congesta
Asteraceae,Hemizonia fasciculata
Asteraceae,Hemizonia increscens
Asteraceae,Hesperevax sp.
Asteraceae,Heterotheca grandiflora
Asteraceae,Heterotheca sessiliflora
Asteraceae,Holocarpha heermannii
Asteraceae,Hypochaeris glabra
Asteraceae,Lactuca serriola
Asteraceae,Lagophylla ramosissima
Asteraceae,Lasthenia californica
Asteraceae,Lasthenia gracilis
Asteraceae,Layia glandulosa
Asteraceae,Layia platyglossa
Asteraceae,Lessingia filaginifolia
Asteraceae,Madia gracilis
Asteraceae,Malacothrix californica
Asteraceae,Micropus californicus
Asteraceae,Microseris douglasii
Asteraceae,Psilocarphus tenellus
Asteraceae,Rafinesquia californica
Asteraceae,Rigiopappus leptocladus
Asteraceae,Senecio flaccidus
Asteraceae,Silybum marianum
Asteraceae,Solidago californica
Asteraceae,Solidago confinis
Asteraceae,Sonchus oleraceus
Asteraceae,Stephanomeria cichoriacea
Asteraceae,Stephanomeria exigua
Asteraceae,Stephanomeria virgata
Asteraceae,Stylocline sp.
Asteraceae,Uropappus lindleyi
Asteraceae,Xanthium spinosum
Asteraceae,Xanthium strumarium
Boraginaceae,Amsinckia menziesii
Boraginaceae,Amsinckia menziesii
Boraginaceae,Cryptantha clevelandii
Boraginaceae,Cryptantha intermedia
Boraginaceae,Plagiobothrys acanthocarpus
Boraginaceae,Plagiobothrys collinus
Boraginaceae,Plagiobothrys nothofulvus
Boraginaceae,Plagiobothrys trachycarpus
Brassicaceae,Brassica nigra
Brassicaceae,Brassica rapa
Brassicaceae,Brassica sp.
Brassicaceae,Capsella bursa-pastoris
Brassicaceae,Cardamine californica
Brassicaceae,Caulanthus amplexicaulis
Brassicaceae,Erysimum capitatum
Brassicaceae,Hirschfeldia incana
Brassicaceae,Lepidium lasiocarpum
Brassicaceae,Lepidium nitidum
Brassicaceae,Lepidium virginicum
Brassicaceae,Nasturtium officinale
Brassicaceae,Raphanus sativus
Brassicaceae,Rorippa nasturtium-aquaticum
Brassicaceae,Rorippa nasturtium-aquaticum
Brassicaceae,Thysanocarpus curvipes
Brassicaceae,Thysanocarpus laciniatus
Brassicaceae,Tropidocarpum gracile
Callitrichaceae,Callitriche marginata
Campanulaceae,Lobelia dunnii
Caprifoliaceae,Lonicera involucrata
Caprifoliaceae,Lonicera subspicata
Caprifoliaceae,Sambucus mexicana
Caprifoliaceae,Symphoricarpos mollis
Caryophyllaceae,Arenaria serpyllifolia
Caryophyllaceae,Cerastium glomeratum
Caryophyllaceae,Minuartia douglasii
Caryophyllaceae,Sagina decumbens
Caryophyllaceae,Silene gallica
Caryophyllaceae,Silene laciniata
Caryophyllaceae,Spergularia bocconii
Caryophyllaceae,Stellaria media
Ceratophyllaceae,Ceratophyllum demersum
Chenopodiaceae,Chenopodium ambrosioides
Chenopodiaceae,Chenopodium berlandieri
Chenopodiaceae,Chenopodium californicum
Convolvulaceae,Calystegia collina
Convolvulaceae,Calystegia macrostegia
Convolvulaceae,Calystegia malacophylla
Convolvulaceae,Convolvulus arvensis
Cornaceae,Cornus sericea
Crassulaceae,Crassula connata
Crassulaceae,Dudleya lanceolata
Crassulaceae,Dudleya pulverulenta
Cucurbitaceae,Cucurbita foetidissima
Cucurbitaceae,Marah fabaceus
Cupressaceae,Juniperus californica
Cuscutaceae,Cuscuta californica
Cyperaceae,Carex barbarae
Cyperaceae,Carex lenticularis
Cyperaceae,Carex praegracilis
Cyperaceae,Carex senta
Cyperaceae,Carex serratodens
Cyperaceae,Cyperus esculentus
Cyperaceae,Eleocharis acicularis
Cyperaceae,Eleocharis macrostachya
Cyperaceae,Eleocharis montevidensis
Drypoteridaceae,Dryopteris arguta
Elatinaceae,Elatine sp.
Equisetaceae,Equisetum hyemale
Equisetaceae,Equisetum laevigatum
Equisetaceae,Equisetum telmateia
Ericaceae,Arctostaphylos glandulosa
Euphorbiaceae,Eremocarpus setigerus
Euphorbiaceae,Euphorbia crenulata
Euphorbiaceae,Euphorbia peplus
Euphorbiaceae,Euphorbia spathulata
Fabaceae,Amorpha californica
Fabaceae,Astragalus gambelianus
Fabaceae,Lathyrus latifolius
Fabaceae,Lathyrus vestitus
Fabaceae,Lotus humistratus
Fabaceae,Lotus purshianus
Fabaceae,Lotus salsuginosus
Fabaceae,Lotus scoparius
Fabaceae,Lotus sp.
Fabaceae,Lotus strigosus
Fabaceae,Lotus subpinnatus
Fabaceae,Lotus wrangelianus
Fabaceae,Lupinus bicolor
Fabaceae,Lupinus microcarpus
Fabaceae,Lupinus microcarpus
Fabaceae,Lupinus nanus
Fabaceae,Lupinus sparsiflorus
Fabaceae,Lupinus succulentus
Fabaceae,Lupinus truncatus
Fabaceae,Medicago polymorpha
Fabaceae,Melilotus alba
Fabaceae,Melilotus indicus
Fabaceae,Parkinsonia aculeata
Fabaceae,Trifolium albopurpureum
Fabaceae,Trifolium ciliolatum
Fabaceae,Trifolium depauperatum
Fabaceae,Trifolium depauperatum
Fabaceae,Trifolium gracilentum
Fabaceae,Trifolium microcephalum
Fabaceae,Trifolium tridentatum
Fabaceae,Trifolium variegatum
Fabaceae,Trifolium willdenovii
Fabaceae,Vicia hassei
Fabaceae,Vicia sativa
Fagaceae  ,Quercus agrifolia
Fagaceae  ,Quercus berberidifolia
Fagaceae  ,Quercus douglasii
Fagaceae  ,Quercus douglasii
Fagaceae  ,Quercus lobata
Geraniaceae,California macrophylla
Geraniaceae,Erodium botrys
Geraniaceae,Erodium brachycarpum
Geraniaceae,Erodium cicutarium
Geraniaceae,Erodium moschatum
Geraniaceae,Geranium carolinianum
Geraniaceae,Geranium dissectum
Hydrocharitaceae,Najas marina
Hydrophyllaceae,Emmenanthe penduliflora
Hydrophyllaceae,Eucrypta chrysanthemifolia
Hydrophyllaceae,Nemophila menziesii
Hydrophyllaceae,Nemophila pedunculata
Hydrophyllaceae,Nemophila pulchella
Hydrophyllaceae,Phacelia cicutaria
Hydrophyllaceae,Phacelia cicutaria
Hydrophyllaceae,Phacelia imbricata
Hydrophyllaceae,Phacelia sp.
Hydrophyllaceae,Phacelia viscida
Hydrophyllaceae,Pholistoma auritum
Iridaceae,Iris sp.
Iridaceae,Sisyrinchium bellum
Juncaceae,Juncus bufonius
Juncaceae,Juncus mexicanus
Juncaceae,Juncus xiphioides
Lamiaceae,Lamium amplexicaule
Lamiaceae,Marrubium vulgare
Lamiaceae,Salvia carduacea
Lamiaceae,Salvia columbariae
Lamiaceae,Salvia leucophylla
Lamiaceae,Salvia mellifera
Lamiaceae,Salvia spathacea
Lamiaceae,Satureja mimuloides
Lamiaceae,Stachys bullata
Lamiaceae,Stachys pycnantha
Lamiaceae,Trichostema lanceolatum
Lauraceae,Umbellularia californica
Liliaceae,Allium crispum
Liliaceae,Allium haematochiton
Liliaceae,Bloomeria crocea
Liliaceae,Brodiaea jolonensis
Liliaceae,Calochortus albus
Liliaceae,Calochortus catalinae
Liliaceae,Calochortus clavatus
Liliaceae,Chlorogalum pomeridianum
Liliaceae,Dichelostemma capitatum
Liliaceae,Fritillaria biflora
Liliaceae,Fritillaria lanceolata
Liliaceae,Yucca whipplei
Liliaceae,Zigadenus fremontii
Linaceae,Hesperolinon micranthum
Malvaceae,Malacothamnus fasciculatus
Malvaceae,Malva parviflora
Malvaceae,Sidalcea malvaeflora
Onagraceae,Camissonia boothii
Onagraceae,Camissonia graciliflora
Onagraceae,Camissonia intermedia
Onagraceae,Camissonia micrantha
Onagraceae,Clarkia bottae
Onagraceae,Clarkia cylindrica
Onagraceae,Clarkia purpurea
Onagraceae,Clarkia sp.
Onagraceae,Clarkia unguiculata
Onagraceae,Epilobium brachycarpum
Onagraceae,Epilobium canum
Onagraceae,Epilobium minutum
Orchidaceae,Epipactis gigantea
Orobanchaceae,Orobanche californica
Orobanchaceae,Orobanche sp.
Paeoniaceae,Paeonia californica
Papaveraceae,Dendromecon rigida
Papaveraceae,Eschscholzia californica
Papaveraceae,Meconella sp.
Papaveraceae,Platystemon californicus
Papaveraceae,Stylomecon heterophylla
Pinaceae,Pinus sabiniana
Plantaginaceae,Plantago elongata
Plantaginaceae,Plantago erecta
Plantaginaceae,Plantago lanceolata
Plantaginaceae,Plantago major
Plantaginaceae,Plantago ovata
Platanaceae,Platanus racemosa
Poaceae,Agrostis exarata
Poaceae,Agrostis pallens
Poaceae,Agrostis viridis
Poaceae,Aristida adscensionis
Poaceae,Avena barbata
Poaceae,Avena fatua
Poaceae,Brachypodium distachyon
Poaceae,Bromus arenarius
Poaceae,Bromus carinatus
Poaceae,Bromus diandrus
Poaceae,Bromus hordeaceus
Poaceae,Bromus madritensis
Poaceae,Bromus madritensis
Poaceae,Bromus tectorum
Poaceae,Crypsis schoenoides
Poaceae,Cynodon dactylon
Poaceae,Dactylis glomerata
Poaceae,Elymus glaucus
Poaceae,Elymus multisetus
Poaceae,Elytrigia pontica
Poaceae,Elytrigia repens
Poaceae,Festuca sp.
Poaceae,Gastridium ventricosum
Poaceae,Hordeum marinum
Poaceae,Hordeum murinum
Poaceae,Koeleria macrantha
Poaceae,Lamarckia aurea
Poaceae,Leymus condensatus
Poaceae,Leymus triticoides
Poaceae,Lolium multiflorum
Poaceae,Lolium temulentum
Poaceae,Melica californica
Poaceae,Melica imperfecta
Poaceae,Muhlenbergia rigens
Poaceae,Nassella cernua
Poaceae,Nassella lepida
Poaceae,Nassella pulchra
Poaceae,Piptatherum millaceum
Poaceae,Poa annua
Poaceae,Poa secunda
Poaceae,Polypogon interruptus
Poaceae,Polypogon monspeliensis
Poaceae,Schismus arabicus
Poaceae,Schismus barbatus
Poaceae,Sorghum bicolor
Poaceae,Vulpia bromoides
Poaceae,Vulpia microstachys
Poaceae,Vulpia microstachys
Poaceae,Vulpia myuros
Polemoniaceae,Allophyllum sp.
Polemoniaceae,Gilia achilleifolia
Polemoniaceae,Gilia capitata
Polemoniaceae,Gilia ochroleuca
Polemoniaceae,Gilia sp.
Polemoniaceae,Leptodactylon californicum
Polemoniaceae,Linanthus ciliatus
Polemoniaceae,Linanthus parviflorus
Polemoniaceae,Microsteris gracilis
Polemoniaceae,Navarretia attractyloides
Polemoniaceae,Navarretia jaredii
Polemoniaceae,Phlox gracilis
Polygonaceae,Chorizanthe staticoides
Polygonaceae,Eriogonum baileyi
Polygonaceae,Eriogonum elongatum
Polygonaceae,Eriogonum fasciculatum
Polygonaceae,Polygonum arenastrum
Polygonaceae,Pterostegia drymarioides
Polypodiaceae,Polypodium californicum
Portulacaceae,Calandrinia ciliata
Portulacaceae,Claytonia exigua
Portulacaceae,Claytonia perfoliata
Potamogetonaceae,Potamogeton pectinatus
Primulaceae  ,Anagallis arvensis
Primulaceae  ,Dodecatheon clevelandii
Pteridaceae,Adiantum jordanii
Pteridaceae,Pellaea andromedifolia
Pteridaceae,Pentagramma triangularis
Ranunculaceae,Clematis lasiantha
Ranunculaceae,Clematis lingusticifolia
Ranunculaceae,Delphinium sp.
Ranunculaceae,Ranunculus californicus
Rhamnaceae,Ceanothus cuneatus
Rhamnaceae,Ceanothus cuneatus
Rhamnaceae,Rhamnus californica
Rhamnaceae,Rhamnus crocea
Rhamnaceae,Rhamnus ilicifolia
Rhamnaceae,Rhamnus tomentella
Rosaceae,Adenostoma fasciculatum
Rosaceae,Aphanes occidentalis
Rosaceae,Cercocarpus betuloides
Rosaceae,Heteromeles salicifolia
Rosaceae,Prunus ilicifolia
Rosaceae,Rosa californica
Rosaceae,Rubus ursinus
Rubiaceae,Galium andrewsii
Rubiaceae,Galium angustifolium
