date,year,doy,DOR,solar rad kW-hr/m2,wind speed m/s,wind dir. Deg.,wind gust m/s,air temp ave. deg. C ,air temp max deg. C,air temp min deg. C,relative humidity ave. %,relative humidity max %,relative humidity min %,ASCE Et. Total mm,Penman Et. Total mm,Growing Degree Days 40,Growing Degree Days 50,Precip total mm
01/01/15,2015,1,1,3.265,1.31,311,5.98,4.1,13.7,-3.3,45,70,23,2.23,2.3,34,0,0
01/02/15,2015,2,2,3.247,0.96,293,4.83,5.5,14.5,-1.4,62,89,33,1.97,1.87,96,0,0
01/03/15,2015,3,3,3.15,1.13,302,5.52,6.5,15.2,0,73,92,45,1.96,1.96,145,0,0
01/04/15,2015,4,4,3.097,0.92,291,4.12,8.7,19.4,1.8,74,96,39,2.14,2.13,281,27,0
01/05/15,2015,5,5,3.23,0.87,309,4.44,14.2,26.6,5.7,50,81,16,2.9,2.89,534,280,0
01/06/15,2015,6,6,3.319,0.74,316,4.08,16.2,28.4,10.1,38,54,14,3.01,3.01,676,422,0
01/07/15,2015,7,7,3.17,0.79,290,4.31,15.9,27.2,8.8,41,60,19,2.89,2.94,621,367,0
01/08/15,2015,8,8,2.861,1.28,299,6.83,15.8,25.6,10.3,50,72,24,3.09,3.17,616,362,0
01/09/15,2015,9,9,2.796,1.4,311,6.24,13.5,21.1,7.5,61,86,30,2.68,2.62,451,197,0
01/10/15,2015,10,10,1.035,0.7,322,4.93,12.7,16.1,9.7,86,98,62,0.93,0.97,386,132,12.7
01/11/15,2015,11,11,1.509,1.18,283,4.47,12.9,17.2,10.6,93,99,74,1.24,1.28,432,178,6.6
01/12/15,2015,12,12,3.171,2.16,327,8.95,12.7,18.1,6.6,77,100,42,2.59,2.45,363,109,0
01/13/15,2015,13,13,3.342,1.08,309,4.51,10.9,19.8,4.2,73,92,43,2.38,2.35,345,91,0
01/14/15,2015,14,14,3.373,1.16,303,5.91,11.1,20.5,4.9,66,90,30,2.65,2.52,378,124,0
01/15/15,2015,15,15,3.52,1.28,298,6.79,11.1,21,4.6,57,82,24,2.92,2.85,383,129,0
01/16/15,2015,16,16,3.301,1.21,309,5.65,11,21.1,3.8,66,86,34,2.65,2.75,365,111,0
01/17/15,2015,17,17,3.407,1.32,301,4.77,13.8,23.8,6.6,58,83,27,3.11,3.17,492,238,0
01/18/15,2015,18,18,2.946,1.07,296,5.32,14.2,22.4,7.8,68,95,41,2.46,2.43,487,233,0
01/19/15,2015,19,19,3.446,1.3,314,9.54,12.9,24.4,6.2,76,96,35,2.97,3.1,495,241,0
