plot,organic_matter_rating,organic_matter_ENR,P1_weak_bray_ppm,NaHCO3P_olsen_ppm,K_ppm,Mg_ppm,Ca_ppm,Na_ppm,pH,buffer_index,H_meq_100g,CEC_meq_100g,K_%,Mg_%,Ca_%,H_%,Na_%,No3_N_ppm,SO4_S_ppm,NH4_N,Sand_%,Silt_%,Clay_%,texture,TDR_1_1ap16r,TDR_2_1ap16r,TDR_3_1ap16r,mean_tdr_1apr16,gravimetric_water_content_by_wetmass_1apr16,TDR_1_26may16,TDR_2_26may16,TDR_3_26may16,mean_tdr_26may16,gravimetric_water_content_by_wetmass_26may16
740,4.0H,110,14L,10M,204M,2144VH,914VL,20VL,7.4,,0,22.8,2.3,77.3,20,0,0.4,6L,2VL,6.7,31,20,49,clay,47.4,67.7,35.1,50.06666667,0.127180214,22.7,14.1,33.1,23.3,0.1086041178
741,3.7M,104,6VL,4L,241M,2778VH,876VL,22VL,7.1,,0,27.9,2.2,81.8,15.6,0,0.3,"5L
",1VL,8.3,19,26,55,clay,38.4,41.6,25.3,35.1,0.140425807,48.2,44.6,23.7,38.83333333,0.1091830666
742,3.7M,104,3VL,6L,269M,"2161VH
",572VL,17VL,6.7,,1,22.4,3.1,79.4,12.7,4.5,0.3,"3VL
",1VL,7,31,30,38,"clay_loam
",14.7,18.4,22,18.36666667,0.0940159402,10.2,13.7,9.9,11.26666667,0.08364065962
743,3.9H,104,5VL,6L,204M,1599VH,571VL,14VL,6.6,,1.1,17.6,3,74.5,16.2,6,0.3,3VL,1VL,6.6,41,32,26,loam,18.4,14.3,11.4,14.7,0.1007260876,18.4,17.5,10,15.3,0.08464517878
744,5H,129,8L,9M,289M,2012VH,555VL,15VL,7.1,,0,20.1,3.7,82.2,13.8,0,0.3,4VL,2VL,9.1,45,28,26,loam,13.3,24.3,12.2,16.6,0.1197212013,10.2,13.9,14.5,12.86666667,0.1085245218
745,4.7H,124,5VL,5L,"162L
",2378VH,461VL,14VL,6.8,,0.7,23,1.8,85,10,3,0.3,3VL,2VL,8.1,37,24,38,"clay_loam
",18.8,NA,NA,18.8,0.091940252,25.6,NA,38,31.8,0.07847315342
746,3.8H,106,4VL,6L,208M,2088VH,479VL,16VL,7.2,,0,20.2,2.6,85.2,11.9,0,0.3,4VL,"1VL
",5.8,45,20,34,sandy_clay_loam,22.7,12.8,14.1,16.53333333,0.0797145679,19.4,15.1,26.3,20.26666667,0.06397941464
747,3.5M,100,6VL,6L,146M,1369VH,327VL,11VL,6.9,,0.2,13.5,2.8,83.3,12.1,1.5,0.3,"3VL
",2VL,7,67,14,18,sandy_loam,14.7,16,14.9,15.2,0.0855285241,22,17.5,10.6,16.7,0.07371241616
748,2.7M,83,6VL,7L,"112L
",1640VH,320VL,12VL,7.4,,0,15.4,1.9,87.5,10.4,0,0.3,3VL,1VL,5.9,71,8,20,sandy_loam,39.3,14.1,NA,26.7,0.0584993236,22.1,12.6,12.4,15.7,0.05561537039
749,"4.7H
",124,8L,9M,207M,1878VH,725VL,17VL,7.2,,0,19.7,2.7,78.5,18.4,0,0.4,"4VL
",1VL,6.1,57,16,26,sandy_clay_loam,21.4,21.7,14.3,19.13333333,0.0875233055,15.8,9.3,26.9,17.33333333,0.06987791853
